name,start_floor,destination,when_to_add
James,1,45,0
Robert,84,89,0
John,98,11,0
Michael,58,52,0
David,86,13,0
William,47,18,0
Richard,80,78,0
Joseph,55,90,0
Thomas,35,32,0
Charles,6,68,0
Christopher,65,20,0
Daniel,92,22,0
Matthew,77,2,0
Anthony,66,16,0
Mark,69,81,0
Donald,56,49,0
Steven,87,75,0
Paul,94,87,0
Andrew,23,94,0
Joshua,38,26,0
Kenneth,59,21,0
Kevin,12,24,0
Brian,97,61,0
George,31,38,0
Timothy,49,98,0
Ronald,52,79,0
Edward,53,46,0
Jason,17,73,0
Jeffrey,46,60,0
Ryan,67,6,0
Jacob,72,54,0
Gary,51,37,0
Nicholas,91,71,0
Eric,57,72,0
Jonathan,20,5,0
Stephen,79,57,0
Larry,5,33,0
Justin,21,53,0
Scott,42,19,0
Brandon,13,44,0
Benjamin,16,64,0
Samuel,61,51,0
Gregory,26,39,0
Alexander,82,47,0
Frank,41,43,0
Patrick,62,95,0
Raymond,99,35,0
Jack,45,31,0
Dennis,34,41,0
Jerry,9,25,0
Tyler,85,55,0
Aaron,74,76,0
Jose,96,3,0
Adam,19,84,0
Nathan,40,17,0
Henry,50,77,0
Douglas,30,36,0
Zachary,81,66,0
Peter,63,34,0
Kyle,89,83,0
Ethan,88,85,0
Walter,8,42,0
Noah,100,59,0
Jeremy,95,50,0
Christian,7,58,0
Keith,4,27,0
Roger,39,96,0
Terry,54,15,0
Gerald,68,40,0
Harold,76,88,0
Sean,11,28,0
Austin,37,70,0
Carl,33,48,0
Arthur,27,97,0
Lawrence,28,93,0
Dylan,64,65,0
Jesse,71,92,0
Jordan,22,63,0
Bryan,2,8,0
Billy,78,14,0
Joe,24,69,0
Bruce,48,7,0
Gabriel,43,100,0
Logan,32,9,0
Albert,18,12,0
Willie,73,23,0
Alan,36,86,0
Juan,70,4,0
Wayne,83,99,0
Elijah,25,67,0
Randy,93,56,0
Roy,14,62,0
Vincent,44,91,0
Ralph,75,10,0
Eugene,29,80,0
Russell,15,30,0
Bobby,3,82,0
Mason,60,29,0
Philip,10,1,0
